Case Created On,Status,Agent,Title,Origin,Is Escalated,Subject,CSAT Label,Resolution Minutes,Severity,Is SLA Violation,CSAT,SLA Compliance Goal,Resolution Minutes Goal,CSAT Goal,Escalations Goal,Minutes to First Contact,Activities,Topic,CaseSeq,SystemUserSeq,AccountSeq,ProductSeq
5/25/2021,Closed,Sanjay Shah,Balanced tangible moratorium,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1021,8,1299,8
5/24/2021,Closed,Greg Winston,Integrated dedicated ability,Chat,FALSE,General,5-Very Satisfied,69,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1044,13,1016,8
5/21/2021,Closed,Molly Clark,Switchable optimizing toolset,Chat,FALSE,General,5-Very Satisfied,81,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1146,1,1008,8
5/20/2021,Closed,Molly Clark,Switchable impactful focus group,Chat,FALSE,General,5-Very Satisfied,77,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1251,1,1025,8
5/20/2021,Closed,Julian Isla,Innovative impactful function,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1270,4,1001,8
5/18/2021,Closed,Sanjay Shah,Customizable maximized firmware,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1378,8,1211,8
5/18/2021,Closed,Greg Winston,Inverse intermediate task-force,Chat,FALSE,General,5-Very Satisfied,65,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1400,13,1061,8
5/17/2021,Closed,Molly Clark,Grass-roots bifurcated product,Chat,FALSE,General,5-Very Satisfied,77,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1436,1,1232,8
5/17/2021,Closed,Julian Isla,Synergized encompassing synergy,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1450,4,1229,8
5/13/2021,Closed,Sanjay Shah,Profound multi-state parallelism,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1623,8,1146,8
5/13/2021,Closed,Eric Gruber,Operative high-level attitude,Chat,FALSE,General,5-Very Satisfied,71,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1635,2,1204,8
5/13/2021,Closed,Greg Winston,User-centric systematic function,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1651,13,1073,8
5/12/2021,Closed,Molly Clark,Balanced upward-trending support,Chat,FALSE,General,5-Very Satisfied,81,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1726,1,1006,8
5/12/2021,Closed,Alan Steiner,Visionary dedicated knowledge base,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1739,10,1279,8
5/11/2021,Closed,Molly Clark,Quality-focused dedicated policy,Chat,FALSE,General,5-Very Satisfied,77,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1819,1,1053,8
5/10/2021,Closed,Eric Gruber,Optimized tangible knowledge base,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1897,2,1141,8
5/7/2021,Closed,Molly Clark,Self-enabling secondary capacity,Chat,FALSE,General,5-Very Satisfied,79,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1973,1,1283,8
5/7/2021,Closed,Sanjay Shah,Open-source optimizing monitoring,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,1992,8,1211,8
4/30/2021,Closed,Molly Clark,Universal uniform concept,Chat,FALSE,General,5-Very Satisfied,81,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2334,1,1008,8
4/30/2021,Closed,Spencer Low,Monitored systematic methodology,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2350,7,1024,8
4/30/2021,Closed,Spencer Low,Distributed asymmetric project,Chat,FALSE,General,5-Very Satisfied,72,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2373,7,1024,8
4/29/2021,Closed,Alan Steiner,Self-enabling scalable alliance,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2432,10,1249,8
4/29/2021,Closed,Anne Weiler,Managed radical Graphic Interface,Chat,FALSE,General,5-Very Satisfied,70,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2468,12,1156,8
4/27/2021,Closed,Sanjay Shah,Re-contextualized foreground frame,Chat,FALSE,General,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | General,2567,8,1160,8
