ContactID,Contact,Job Title,Street,City,State or Province,Postal Code,Country,Latitude,Longitude,Phone,ContactSeq,AccountSeq,FirstName,LastName
95b19680-1946-4655-b19d-fa68cc4a491d,Jacqueline Penella,Pharmacist,87841 Sloan Way,Tucson,AZ,85715,United States,32.2519,-110.82,520-970-5533,1000,1047,Jacqueline,Penella
48985a27-bc10-4308-8cc0-18da73854fc4,Clo Brixey,Senior Editor,8 Coleman Point,Sioux Falls,SD,57198,United States,43.6746,-96.7913,605-344-1216,1001,1023,Clo,Brixey
8363f7b4-976d-4104-9848-acf10dde13f8,Yuma Arnaudi,Tax Accountant,95 Melvin Pass,Boise,ID,83711,United States,43.4599,-116.244,208-934-3938,1002,1056,Yuma,Arnaudi
fe2e4c46-bae4-49aa-a3ad-6488f7162948,Garfield Priel,Web Designer I,11620 Menomonie Court,Dayton,OH,45408,United States,39.7395,-84.229,937-390-4115,1003,1026,Garfield,Priel
1917c86d-0ec4-4d2e-b89c-754f0f67a4e0,Goldy Yoselevitch,Assistant Media Planner,626 Hauk Road,Carol Stream,IL,60158,United States,41.9166,-88.1208,309-830-8827,1004,1055,Goldy,Yoselevitch
809813f9-12db-42c9-80bf-64655459147b,Sidney Dowbekin,Environmental Specialist,3 Helena Center,Jackson,TN,38308,United States,35.6124,-88.8412,731-198-0089,1005,1065,Sidney,Dowbekin
2d283a50-ceae-4bc2-99fc-ac48ca31e57c,Starlene Ealles,Environmental Tech,73788 Farwell Point,Saint Louis,MO,63150,United States,38.6531,-90.2435,314-476-8028,1006,1019,Starlene,Ealles
1637da94-8b61-49d9-9169-b21964c8db1d,Daniela Leman,Data Coordiator,09155 Golf Street,Harrisburg,PA,17140,United States,40.3086,-76.8464,717-940-8580,1007,1043,Daniela,Leman
44c5c452-a10f-466c-ba3e-3c33750bf5b2,Gwynne Sulley,Nurse Practicioner,6 Oak Valley Alley,New York City,NY,10275,United States,40.7808,-73.9772,212-301-9813,1008,1125,Gwynne,Sulley
f7f36caf-ed74-402f-80d6-e9c42cde62f0,Jamaal Zisneros,Administrative Officer,29 Emmet Avenue,Baton Rouge,LA,70820,United States,30.3795,-91.1671,225-247-5919,1009,1085,Jamaal,Zisneros
deb0ea98-7248-4320-b0a0-5c2dff74abec,Hilton Lean,Nurse Practicioner,77717 Bellgrove Park,Sterling,VA,20167,United States,39.0853,-77.6452,571-469-2445,1010,1061,Hilton,Lean
533c3ad6-72bd-404b-82c9-faa44f295a21,Elianora Holdren,Assistant Media Planner,60 Northridge Pass,Gainesville,FL,32605,United States,29.6785,-82.3679,352-860-3364,1011,1123,Elianora,Holdren
c4be5c2c-8669-48bb-942c-8316c01b52ff,Adela Riolfi,Human Resources Assistant I,96 Stephen Place,Birmingham,AL,35220,United States,33.5446,-86.9292,205-944-3828,1012,1111,Adela,Riolfi
757a6e3c-55fd-42c2-952b-849c81d083f6,Davin Jarred,Sales Representative,9 Loeprich Crossing,Columbus,OH,43231,United States,40.081,-82.9383,614-290-7291,1013,1048,Davin,Jarred
029545ad-96fa-41c1-a464-5c84f34a9401,Annelise Bidgod,Sales Associate,8869 Larry Trail,Vancouver,WA,98664,United States,45.6231,-122.5767,360-234-5851,1014,1048,Annelise,Bidgod
8e7171a0-e8b3-44e3-bc95-e073c1bb681a,Mead Alyoshin,Financial Analyst,6 Sherman Pass,Savannah,GA,31422,United States,31.9714,-81.0716,912-878-2900,1015,1064,Mead,Alyoshin
f7ad46f5-84b7-4337-b209-dfb1c5d7d72c,Kitti Synder,Civil Engineer,966 Mendota Trail,Sioux Falls,SD,57105,United States,43.524,-96.7341,605-509-4848,1016,1124,Kitti,Synder
6ef64a7a-b867-4f0e-b13b-f335edaa904d,Lenee Lambotin,Pharmacist,4 Muir Circle,New York City,NY,10125,United States,40.7808,-73.9772,212-509-5271,1017,1034,Lenee,Lambotin
5af920c9-257a-4c78-90b1-0fc50e11cca6,Aimil Stovine,Occupational Therapist,07 Glacier Hill Court,Savannah,GA,31410,United States,32.0175,-80.997,912-246-1288,1018,1073,Aimil,Stovine
82459d32-fdb1-4d9f-a509-77a12e3b5f0f,Danell Chaikovski,Legal Assistant,72 Oneill Terrace,Jacksonville,FL,32236,United States,30.3449,-81.6831,904-929-8052,1019,1125,Danell,Chaikovski
2cd182d2-54d2-46e0-a789-00b0eecc48a7,Prudy Redmile,Account Coordinator,84 Blackbird Hill,Lexington,KY,40546,United States,38.0283,-84.4715,859-656-9139,1020,1092,Prudy,Redmile
98e17224-c72f-449d-bb61-d1b3be1eaa86,Aldo Line,Research Associate,7415 Briar Crest Junction,Pasadena,CA,91186,United States,33.7866,-118.2987,626-180-1605,1021,1054,Aldo,Line
948e6c2c-89bf-45bb-8ab3-266ca7c7c54d,Xerxes Abramcik,Programmer Analyst III,7879 Glendale Crossing,San Francisco,CA,94159,United States,37.7848,-122.7278,415-430-9262,1022,1088,Xerxes,Abramcik
8dfb8a10-703d-49b7-9339-6091b97dfd83,Lizzie Milbourne,Electrical Engineer,1 Shasta Lane,Billings,MT,59105,United States,45.9497,-108.599,406-753-5071,1023,1099,Lizzie,Milbourne
f672eca3-54df-43b2-97d2-fe9366adf255,Valentin Colby,Physical Therapy Assistant,683 Ronald Regan Trail,Carlsbad,CA,92013,United States,33.0169,-116.846,760-356-7981,1024,1123,Valentin,Colby
70518c0d-0b4a-4191-9d0b-000cddc34726,Ariella Spilsted,VP Accounting,1 Knutson Crossing,Santa Fe,NM,87505,United States,35.6219,-105.8688,505-531-2880,1025,1047,Ariella,Spilsted
14969c66-206b-4966-a28d-22fdd5ea471d,Filberto Eyers,Professor,5 Katie Place,Boca Raton,FL,33499,United States,26.6459,-80.4303,561-833-3686,1026,1071,Filberto,Eyers
b003cd12-7320-4615-94af-2d4666c00471,Odilia Halvosen,Senior Quality Engineer,112 Morrow Trail,Sacramento,CA,94245,United States,38.3774,-121.4444,916-257-0048,1027,1118,Odilia,Halvosen
59584717-efba-461b-936c-9ba2109655d8,Mickie Minister,Food Chemist,00931 Blaine Point,Tampa,FL,33620,United States,28.06,-82.4079,813-786-8053,1028,1101,Mickie,Minister
37ef509f-0d7f-4d45-b5a3-fe01810a5590,Paolina Duke,Assistant Media Planner,361 Mcbride Drive,Jamaica,NY,11499,United States,40.6514,-73.8708,212-860-7060,1029,1042,Paolina,Duke
4b3feff8-09dc-4766-96a3-863255c58d75,Nicolais Pusey,Compensation Analyst,28 Hanover Pass,New York City,NY,10009,United States,40.7262,-73.9796,917-129-9903,1030,1127,Nicolais,Pusey
